Unnamed: 0,is_pick,hero_id,team,order,ord,match_id,radiant_win,id,localized_name
0,False,9,0,0,0,5572986931,True,9,Mirana
23,True,9,1,23,23,5571936348,False,9,Mirana
5,True,9,0,5,5,5571692957,False,9,Mirana
0,False,9,1,0,0,5572366825,False,9,Mirana
6,True,9,1,6,6,5572109008,False,9,Mirana
12,False,9,0,12,12,5572725582,True,9,Mirana
23,True,9,0,23,23,5571771266,False,9,Mirana
6,True,9,0,6,6,5572015022,False,9,Mirana
21,False,9,1,21,21,5571964516,False,9,Mirana
7,True,9,0,7,7,5572617927,False,9,Mirana
17,True,9,1,17,17,5572148990,True,9,Mirana
2,False,9,0,2,2,5572911069,True,9,Mirana
15,True,9,1,15,15,5573482795,True,9,Mirana
12,False,9,0,12,12,5573464842,True,9,Mirana
10,False,9,1,10,10,5573555769,False,9,Mirana
2,False,9,1,2,2,5573623714,False,9,Mirana
4,True,9,0,4,4,5574317538,False,9,Mirana
18,False,9,0,18,18,5574364907,True,9,Mirana
12,False,9,0,12,12,5574427463,True,9,Mirana
15,True,9,1,15,15,5574447187,True,9,Mirana
15,True,9,0,15,15,5574491737,False,9,Mirana
18,False,9,0,18,18,5574594320,True,9,Mirana
14,True,9,0,14,14,5574697652,True,9,Mirana
5,True,9,1,5,5,5574721871,True,9,Mirana
15,True,9,0,15,15,5574989619,True,9,Mirana
13,False,9,1,13,13,5575037590,False,9,Mirana
14,True,9,0,14,14,5575753797,False,9,Mirana
14,True,9,1,14,14,5575804706,True,9,Mirana
15,True,9,1,15,15,5576112928,True,9,Mirana
15,True,9,0,15,15,5576173915,True,9,Mirana
11,False,9,0,11,11,5576169993,True,9,Mirana
6,True,9,1,6,6,5576234114,False,9,Mirana
2,False,9,0,2,2,5576287769,True,9,Mirana
4,True,9,1,4,4,5576391448,True,9,Mirana
1,False,9,1,1,1,5576351087,False,9,Mirana
4,True,9,1,4,4,5576462043,False,9,Mirana
5,True,9,0,5,5,5576451957,False,9,Mirana
12,False,9,0,12,12,5576632141,True,9,Mirana
14,True,9,1,14,14,5576988121,True,9,Mirana
20,False,9,0,20,20,5577237509,True,9,Mirana
15,True,9,0,15,15,5577247018,True,9,Mirana
13,False,9,0,13,13,5577289071,False,9,Mirana
7,True,9,0,7,7,5577318069,True,9,Mirana
4,True,9,1,4,4,5577357467,True,9,Mirana
8,False,9,0,8,8,5577427589,False,9,Mirana
6,True,9,1,6,6,5577662049,False,9,Mirana
4,True,9,0,4,4,5577762180,True,9,Mirana
15,True,9,1,15,15,5577866550,False,9,Mirana
