,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,radiant_win,match_id
0,1,False,3,106,,130,5,False,5546630147
1,2,False,2,23,,130,21,False,5546630147
2,3,False,3,49,,130,11,False,5546630147
3,4,False,2,12,,130,6,False,5546630147
4,5,True,3,68,5.0,130,20,False,5546630147
5,6,True,2,57,1.0,130,65,False,5546630147
6,7,True,3,38,7.0,96,22,False,5546630147
7,8,True,2,120,4.0,130,43,False,5546630147
8,9,False,3,87,,82,3,False,5546630147
9,10,False,2,48,,130,32,False,5546630147
10,11,False,3,79,,81,13,False,5546630147
11,12,False,2,63,,130,34,False,5546630147
12,13,False,3,45,,77,54,False,5546630147
13,14,False,2,95,,63,45,False,5546630147
14,15,True,2,85,0.0,106,34,False,5546630147
15,16,True,3,86,9.0,59,29,False,5546630147
16,17,True,2,17,2.0,106,37,False,5546630147
17,18,True,3,13,6.0,106,11,False,5546630147
18,19,False,3,126,,106,44,False,5546630147
19,20,False,3,1,,106,49,False,5546630147
20,21,True,3,10,8.0,31,9,False,5546630147
21,22,True,2,44,3.0,31,27,False,5546630147
0,1,False,3,91,,130,30,True,5545872899
1,2,False,2,69,,130,3,True,5545872899
2,3,False,3,67,,130,45,True,5545872899
3,4,False,2,58,,115,20,True,5545872899
4,5,True,3,86,7.0,130,5,True,5545872899
5,6,True,2,110,1.0,115,30,True,5545872899
6,7,True,3,128,5.0,130,45,True,5545872899
7,8,True,2,38,3.0,100,39,True,5545872899
8,9,False,3,41,,121,17,True,5545872899
9,10,False,2,10,,100,3,True,5545872899
10,11,False,3,83,,121,62,True,5545872899
11,12,False,2,25,,69,28,True,5545872899
12,13,False,3,39,,121,32,True,5545872899
13,14,False,2,98,,107,43,True,5545872899
14,15,True,2,121,0.0,67,8,True,5545872899
15,16,True,3,95,8.0,107,60,True,5545872899
16,17,True,2,106,4.0,38,22,True,5545872899
17,18,True,3,11,6.0,29,38,True,5545872899
18,19,False,3,78,,17,80,True,5545872899
19,20,False,3,104,,8,51,True,5545872899
20,21,True,3,97,9.0,100,20,True,5545872899
21,22,True,2,46,2.0,16,114,True,5545872899
0,1,False,3,11,,130,4,True,5546893836
1,2,False,2,46,,130,15,True,5546893836
2,3,False,3,96,,130,5,True,5546893836
3,4,False,2,43,,130,15,True,5546893836
4,5,True,3,38,7.0,130,11,True,5546893836
5,6,True,2,19,0.0,130,35,True,5546893836
6,7,True,3,87,9.0,125,19,True,5546893836
7,8,True,2,53,3.0,130,44,True,5546893836
8,9,False,3,105,,111,9,True,5546893836
9,10,False,2,95,,130,22,True,5546893836
10,11,False,3,90,,111,8,True,5546893836
11,12,False,2,18,,130,6,True,5546893836
12,13,False,3,37,,111,5,True,5546893836
13,14,False,2,17,,111,13,True,5546893836
14,15,True,2,64,2.0,130,3,True,5546893836
15,16,True,3,48,8.0,111,26,True,5546893836
16,17,True,2,5,1.0,130,15,True,5546893836
17,18,True,3,20,5.0,130,3,True,5546893836
18,19,False,3,106,,130,10,True,5546893836
19,20,False,3,13,,130,5,True,5546893836
20,21,True,3,126,6.0,111,2,True,5546893836
21,22,True,2,10,4.0,111,11,True,5546893836
