,match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win
0,5547591022,1896,1596308627,6490995,SMARACIS eSports,7483630,Husky,12238,Time of Bet Dota 2 Cup,468251,1,39,12,True
1,5547542465,1736,1596305807,7486089,Cyberium,2576071,,12242,Glory of the summer,468209,1,9,31,False
2,5547536845,1892,1596305552,8063794,Plasma VitaPLUR Gum Reborn,6849739,Ωmega Gaming,12229,ESL One Thailand 2020 Online powered by Intel,468233,1,11,31,False
3,5547447870,2603,1596301792,2576071,,7486089,Cyberium,12242,Glory of the summer,468209,1,27,29,True
4,5547438989,1232,1596301953,8077174,,7556672,TEMPO,12245,OMEGA League,468163,1,29,10,True
5,5547354637,2175,1596298181,2576071,,7453744,KHAN,12242,Glory of the summer,468145,1,38,26,True
6,5547351523,1948,1596298152,7556672,TEMPO,8077174,,12245,OMEGA League,468163,1,12,38,False
7,5547266641,1529,1596295193,7453744,KHAN,2576071,,12242,Glory of the summer,468145,1,14,25,False
8,5547245115,2142,1596294562,7848119,NOVA,8021531,CYBERIUM.S,12238,Time of Bet Dota 2 Cup,468094,1,35,17,True
9,5547236639,1936,1596294190,8068655,you don't know us ,8069813,Pieak & Friend,12230,ESL Thailand Championship 2020,468109,1,46,26,True
10,5547201944,2936,1596293235,8069786,Voldemort,7422789,HellRaisers,12245,OMEGA League,468108,1,31,40,False
11,5547128138,2209,1596290707,8021531,CYBERIUM.S,7848119,NOVA,12238,Time of Bet Dota 2 Cup,468094,1,34,21,True
12,5547117890,1572,1596290766,8069813,Pieak & Friend,8068655,you don't know us ,12230,ESL Thailand Championship 2020,468109,1,14,46,False
13,5547117681,2517,1596290373,7453744,KHAN,7486089,Cyberium,12242,Glory of the summer,468093,1,19,28,False
14,5547094064,1554,1596289738,7422789,HellRaisers,8069786,Voldemort,12245,OMEGA League,468108,1,30,7,True
15,5547019554,1658,1596287123,8076490,Sakarin(2020ใครฟังอยู่),7700123,UNKNOWN,12230,ESL Thailand Championship 2020,468078,1,6,38,False
16,5547012076,2252,1596286901,7848119,NOVA,8021531,CYBERIUM.S,12238,Time of Bet Dota 2 Cup,468094,1,28,9,True
17,5547010241,1842,1596286827,7486089,Cyberium,7453744,KHAN,12242,Glory of the summer,468093,1,8,23,False
18,5546958613,1915,1596284990,8055689,,46,Team Empire,12245,OMEGA League,468065,1,16,37,False
19,5546943485,1264,1596284376,7423567,Team Honor,7639670,Team Meteor,11263,Masters  Tournament,468076,1,16,43,False
20,5546918168,845,1596283402,7998370,Team Weirdo,2277712,StarLucK.Fly,12227,Dota Summer League Season 2,468067,1,5,20,False
21,5546914867,1329,1596283937,8076490,Sakarin(2020ใครฟังอยู่),7700123,UNKNOWN,12230,ESL Thailand Championship 2020,468078,1,4,38,False
22,5546893836,1093,1596282654,7639670,Team Meteor,7423567,Team Honor,11263,Masters  Tournament,468076,1,27,15,True
23,5546869140,2395,1596281666,8021861,Vice eSports,7408845,Execration,12239,Yabo Ninja Championship,468047,1,31,37,False
24,5546850554,1829,1596280611,2277712,StarLucK.Fly,7998370,Team Weirdo,12227,Dota Summer League Season 2,468067,1,28,11,True
25,5546848236,1468,1596280511,7375887,TheMelDota2,7667536,MOTIVADE.TRUST GAMING,12230,ESL Thailand Championship 2020,468055,1,12,35,False
26,5546839776,1365,1596280149,8076727,Team Varanid,7610494,Team Destiny,11263,Masters  Tournament,468061,1,46,35,True
27,5546837063,2981,1596280219,46,Team Empire,8055689,,12245,OMEGA League,468065,1,55,33,True
